videoName,PhaseName,Start,End
RALIHR_surgeon01_fps01_0005,transitionary idle,24:05,24:07
RALIHR_surgeon01_fps01_0005,stationary idle,24:07,24:39
RALIHR_surgeon01_fps01_0005,positioning suture,24:39,25:16
RALIHR_surgeon01_fps01_0005,transitionary idle,25:16,25:28
RALIHR_surgeon01_fps01_0005,stationary idle,25:28,26:05
RALIHR_surgeon01_fps01_0005,transitionary idle,26:05,26:14
RALIHR_surgeon01_fps01_0005,mesh placement,26:14,29:00
RALIHR_surgeon01_fps01_0005,transitionary idle,29:00,29:13
RALIHR_surgeon01_fps01_0005,mesh placement,29:13,32:45
RALIHR_surgeon01_fps01_0005,transitionary idle,32:45,33:22
RALIHR_surgeon01_fps01_0005,catheter insertion,33:22,34:11
RALIHR_surgeon01_fps01_0005,transitionary idle,34:11,34:15
RALIHR_surgeon01_fps01_0005,positioning suture,34:15,34:22
RALIHR_surgeon01_fps01_0005,peritoneal closure,34:22,37:45
RALIHR_surgeon01_fps01_0005,transitionary idle,37:45,37:52
RALIHR_surgeon01_fps01_0005,positioning suture,37:52,38:11
RALIHR_surgeon01_fps01_0005,peritoneal closure,38:11,41:22
RALIHR_surgeon01_fps01_0005,transitionary idle,41:22,42:14
RALIHR_surgeon01_fps01_0005,peritoneal closure,42:14,42:43
RALIHR_surgeon01_fps01_0005,positioning suture,42:43,42:47
RALIHR_surgeon01_fps01_0005,peritoneal closure,42:47,44:32
RALIHR_surgeon01_fps01_0005,positioning suture,44:32,44:40
RALIHR_surgeon01_fps01_0005,transitionary idle,44:40,44:46
RALIHR_surgeon01_fps01_0005,peritoneal closure,44:46,44:49
RALIHR_surgeon01_fps01_0005,positioning suture,44:49,45:27
RALIHR_surgeon01_fps01_0005,transitionary idle,45:27,45:31
RALIHR_surgeon01_fps01_0005,positioning suture,45:31,45:48
RALIHR_surgeon01_fps01_0005,mesh positioning,45:48,46:54
RALIHR_surgeon01_fps01_0005,transitionary idle,46:54,47:13
RALIHR_surgeon01_fps01_0006,peritoneal closure,00:00,00:23
RALIHR_surgeon01_fps01_0006,transitionary idle,00:23,00:57
RALIHR_surgeon01_fps01_0006,catheter insertion,00:57,01:38
RALIHR_surgeon01_fps01_0006,transitionary idle,01:38,01:47
RALIHR_surgeon01_fps01_0006,peritoneal closure,01:47,04:01
RALIHR_surgeon01_fps01_0006,positioning suture,04:01,04:11
RALIHR_surgeon01_fps01_0006,peritoneal closure,04:11,05:33
RALIHR_surgeon01_fps01_0006,positioning suture,05:33,06:07
RALIHR_surgeon01_fps01_0006,peritoneal closure,06:07,09:26
RALIHR_surgeon01_fps01_0006,positioning suture,09:26,09:35
RALIHR_surgeon01_fps01_0006,peritoneal closure,09:35,10:46
RALIHR_surgeon01_fps01_0006,positioning suture,10:46,12:00
RALIHR_surgeon01_fps01_0006,transitionary idle,12:00,12:06
RALIHR_surgeon01_fps01_0006,mesh positioning,12:06,12:24
RALIHR_surgeon01_fps01_0006,transitionary idle,12:24,12:30
RALIHR_surgeon01_fps01_0006,mesh positioning,12:30,12:46
RALIHR_surgeon01_fps01_0006,transitionary idle,12:46,12:57
RALIHR_surgeon01_fps01_0006,stationary idle,12:57,13:20
RALIHR_surgeon01_fps01_0007,transitionary idle,00:00,00:42
RALIHR_surgeon01_fps01_0007,catheter insertion,00:42,01:57
RALIHR_surgeon01_fps01_0007,transitionary idle,01:57,02:11
RALIHR_surgeon01_fps01_0007,positioning suture,02:11,02:26
RALIHR_surgeon01_fps01_0007,peritoneal closure,02:26,05:17
RALIHR_surgeon01_fps01_0007,positioning suture,05:17,05:47
RALIHR_surgeon01_fps01_0007,peritoneal closure,05:47,08:46
RALIHR_surgeon01_fps01_0007,positioning suture,08:46,09:40
RALIHR_surgeon01_fps01_0007,transitionary idle,09:40,09:56
RALIHR_surgeon01_fps01_0007,stationary idle,09:56,10:08
RALIHR_surgeon01_fps01_0008,stationary idle,00:00,00:17
RALIHR_surgeon01_fps01_0008,transitionary idle,00:17,00:30
RALIHR_surgeon01_fps01_0008,peritoneal scoring,00:30,01:08
RALIHR_surgeon01_fps01_0008,preperioneal dissection,01:08,07:06
RALIHR_surgeon01_fps01_0008,reduction of hernia,07:06,09:23
RALIHR_surgeon01_fps01_0008,transitionary idle,09:23,09:38
RALIHR_surgeon01_fps01_0008,peritoneal scoring,09:38,09:58
RALIHR_surgeon01_fps01_0008,preperioneal dissection,09:58,18:26
RALIHR_surgeon01_fps01_0008,reduction of hernia,18:26,20:50
RALIHR_surgeon01_fps01_0008,transitionary idle,20:50,21:01
RALIHR_surgeon01_fps01_0008,reduction of hernia,21:01,23:00
RALIHR_surgeon01_fps01_0008,transitionary idle,23:00,23:18
RALIHR_surgeon01_fps01_0008,reduction of hernia,23:18,25:32
RALIHR_surgeon01_fps01_0008,stationary idle,25:32,25:54
RALIHR_surgeon01_fps01_0008,transitionary idle,25:54,25:58
RALIHR_surgeon01_fps01_0008,stationary idle,25:58,26:30
RALIHR_surgeon01_fps01_0008,transitionary idle,26:30,26:50
RALIHR_surgeon01_fps01_0008,stationary idle,26:50,27:15
RALIHR_surgeon01_fps01_0008,transitionary idle,27:15,27:44
RALIHR_surgeon01_fps01_0008,mesh positioning,27:44,28:29
RALIHR_surgeon01_fps01_0008,transitionary idle,28:29,28:53
RALIHR_surgeon01_fps01_0008,positioning suture,28:53,29:15
RALIHR_surgeon01_fps01_0008,transitionary idle,29:15,30:15
RALIHR_surgeon01_fps01_0008,out of body,30:15,31:01
RALIHR_surgeon01_fps01_0008,transitionary idle,31:01,31:10
RALIHR_surgeon01_fps01_0008,mesh placement,31:10,34:33
RALIHR_surgeon01_fps01_0008,transitionary idle,34:33,34:43
RALIHR_surgeon01_fps01_0008,mesh placement,34:43,38:26
RALIHR_surgeon01_fps01_0008,transitionary idle,38:26,38:50
RALIHR_surgeon01_fps01_0008,catheter insertion,38:50,39:43
RALIHR_surgeon01_fps01_0008,positioning suture,39:43,40:14
RALIHR_surgeon01_fps01_0008,peritoneal closure,40:14,44:06
RALIHR_surgeon01_fps01_0008,positioning suture,44:06,44:18
RALIHR_surgeon01_fps01_0008,peritoneal closure,44:18,48:34
RALIHR_surgeon01_fps01_0008,positioning suture,48:34,49:15
RALIHR_surgeon01_fps01_0008,transitionary idle,49:15,49:20
RALIHR_surgeon01_fps01_0009,transitionary idle,00:00,00:05
RALIHR_surgeon01_fps01_0009,positioning suture,00:05,00:17
RALIHR_surgeon01_fps01_0009,transitionary idle,00:17,00:22
RALIHR_surgeon01_fps01_0009,mesh positioning,00:22,00:35
RALIHR_surgeon01_fps01_0009,transitionary idle,00:35,00:50
RALIHR_surgeon01_fps01_0009,peritoneal scoring,00:50,01:03
RALIHR_surgeon01_fps01_0009,preperioneal dissection,01:03,06:18
RALIHR_surgeon01_fps01_0009,reduction of hernia,06:18,07:44
RALIHR_surgeon01_fps01_0009,transitionary idle,07:44,07:49
RALIHR_surgeon01_fps01_0009,mesh placement,07:49,09:16
RALIHR_surgeon01_fps01_0009,transitionary idle,09:16,09:39
RALIHR_surgeon01_fps01_0009,peritoneal scoring,09:39,10:16
RALIHR_surgeon01_fps01_0009,preperioneal dissection,10:16,16:24
RALIHR_surgeon01_fps01_0009,reduction of hernia,16:24,19:55
RALIHR_surgeon01_fps01_0009,transitionary idle,19:55,21:46
RALIHR_surgeon01_fps01_0009,mesh placement,21:46,22:28
RALIHR_surgeon01_fps01_0009,transitionary idle,22:28,22:40
RALIHR_surgeon01_fps01_0009,stationary idle,22:40,22:55
RALIHR_surgeon01_fps01_0009,transitionary idle,22:55,23:08
RALIHR_surgeon01_fps01_0009,mesh placement,23:08,24:38
RALIHR_surgeon01_fps01_0009,transitionary idle,24:38,25:10
RALIHR_surgeon01_fps01_0010,transitionary idle,00:00,00:32
RALIHR_surgeon01_fps01_0010,peritoneal scoring,00:32,01:28
RALIHR_surgeon01_fps01_0010,preperioneal dissection,01:28,11:21
RALIHR_surgeon01_fps01_0010,reduction of hernia,11:21,18:37
RALIHR_surgeon01_fps01_0010,transitionary idle,18:37,19:18
RALIHR_surgeon01_fps01_0010,peritoneal scoring,19:18,20:22
RALIHR_surgeon01_fps01_0010,preperioneal dissection,20:22,31:55
RALIHR_surgeon01_fps01_0010,reduction of hernia,31:55,34:45
RALIHR_surgeon01_fps01_0010,transitionary idle,34:45,35:15
RALIHR_surgeon01_fps01_0010,stationary idle,35:15,36:09
RALIHR_surgeon01_fps01_0010,transitionary idle,36:09,36:26
RALIHR_surgeon01_fps01_0010,stationary idle,36:26,37:27
RALIHR_surgeon01_fps01_0010,transitionary idle,37:27,39:34
RALIHR_surgeon01_fps01_0010,mesh positioning,39:34,40:30
RALIHR_surgeon01_fps01_0010,transitionary idle,40:30,40:41
RALIHR_surgeon01_fps01_0010,stationary idle,40:41,41:26
RALIHR_surgeon01_fps01_0010,mesh positioning,41:26,42:16
RALIHR_surgeon01_fps01_0010,transitionary idle,42:16,42:31
RALIHR_surgeon01_fps01_0010,positioning suture,42:31,42:45
RALIHR_surgeon01_fps01_0010,transitionary idle,42:45,44:58
RALIHR_surgeon01_fps01_0010,positioning suture,44:58,45:03
RALIHR_surgeon01_fps01_0010,transitionary idle,45:03,46:41
RALIHR_surgeon01_fps01_0010,positioning suture,46:41,47:16
RALIHR_surgeon01_fps01_0010,transitionary idle,47:16,47:22
RALIHR_surgeon01_fps01_0010,mesh placement,47:22,49:51
RALIHR_surgeon01_fps01_0010,transitionary idle,49:51,50:10
RALIHR_surgeon01_fps01_0010,mesh placement,50:10,54:08
RALIHR_surgeon01_fps01_0010,transitionary idle,54:08,54:40
RALIHR_surgeon01_fps01_0010,catheter insertion,54:40,55:35
RALIHR_surgeon01_fps01_0010,transitionary idle,55:35,55:42
RALIHR_surgeon01_fps01_0010,positioning suture,55:42,55:47
RALIHR_surgeon01_fps01_0010,peritoneal closure,55:47,58:57
RALIHR_surgeon01_fps01_0010,transitionary idle,58:57,59:26
RALIHR_surgeon01_fps01_0010,positioning suture,59:26,59:40
RALIHR_surgeon01_fps01_0010,peritoneal closure,59:40,01:14:19
RALIHR_surgeon01_fps01_0010,positioning suture,01:14:19,01:14:39
RALIHR_surgeon01_fps01_0010,peritoneal closure,01:14:39,01:16:08
RALIHR_surgeon01_fps01_0011,transitionary idle,00:00,00:13
RALIHR_surgeon01_fps01_0011,positioning suture,00:13,00:39
RALIHR_surgeon01_fps01_0011,transitionary idle,00:39,00:44
RALIHR_surgeon01_fps01_0011,mesh positioning,00:44,01:04
RALIHR_surgeon01_fps01_0011,transitionary idle,01:04,01:25
RALIHR_surgeon01_fps01_0011,peritoneal scoring,01:25,02:15
RALIHR_surgeon01_fps01_0011,preperioneal dissection,02:15,05:52
RALIHR_surgeon01_fps01_0011,reduction of hernia,05:52,12:52
RALIHR_surgeon01_fps01_0011,transitionary idle,12:52,13:02
RALIHR_surgeon01_fps01_0011,mesh positioning,13:02,13:55
RALIHR_surgeon01_fps01_0011,positioning suture,13:55,14:09
RALIHR_surgeon01_fps01_0011,mesh positioning,14:09,15:00
RALIHR_surgeon01_fps01_0011,transitionary idle,15:00,15:12
RALIHR_surgeon01_fps01_0011,peritoneal scoring,15:12,16:02
RALIHR_surgeon01_fps01_0011,preperioneal dissection,16:02,16:25
RALIHR_surgeon01_fps01_0011,peritoneal scoring,16:25,17:16
RALIHR_surgeon01_fps01_0011,preperioneal dissection,17:16,18:47
RALIHR_surgeon01_fps01_0011,reduction of hernia,18:47,26:58
RALIHR_surgeon01_fps01_0011,transitionary idle,26:58,27:04
RALIHR_surgeon01_fps01_0011,mesh positioning,27:04,28:01
RALIHR_surgeon01_fps01_0011,transitionary idle,28:01,28:10
RALIHR_surgeon01_fps01_0011,positioning suture,28:10,28:44
RALIHR_surgeon01_fps01_0011,transitionary idle,28:44,28:50
RALIHR_surgeon01_fps01_0011,mesh placement,28:50,33:40
RALIHR_surgeon01_fps01_0011,transitionary idle,33:40,33:49
RALIHR_surgeon01_fps01_0011,mesh placement,33:49,37:37
RALIHR_surgeon01_fps01_0011,transitionary idle,37:37,40:31
RALIHR_surgeon01_fps01_0011,catheter insertion,40:31,40:55
RALIHR_surgeon01_fps01_0011,transitionary idle,40:55,41:03
RALIHR_surgeon01_fps01_0011,positioning suture,41:03,41:08
RALIHR_surgeon01_fps01_0011,peritoneal closure,41:08,44:28
RALIHR_surgeon01_fps01_0011,positioning suture,44:28,44:36
RALIHR_surgeon01_fps01_0011,peritoneal closure,44:36,45:28
RALIHR_surgeon01_fps01_0011,positioning suture,45:28,45:43
RALIHR_surgeon01_fps01_0011,peritoneal closure,45:43,48:56
RALIHR_surgeon01_fps01_0011,positioning suture,48:56,50:08
RALIHR_surgeon01_fps01_0011,transitionary idle,50:08,50:21
RALIHR_surgeon01_fps01_0011,stationary idle,50:21,51:07
RALIHR_surgeon01_fps01_0011,transitionary idle,51:07,51:36
RALIHR_surgeon01_fps01_0011,positioning suture,51:36,51:51
RALIHR_surgeon01_fps01_0011,peritoneal closure,51:51,52:59
RALIHR_surgeon01_fps01_0011,positioning suture,52:59,53:33
RALIHR_surgeon01_fps01_0011,transitionary idle,53:33,53:45
RALIHR_surgeon01_fps01_0012,transitionary idle,00:00,00:14
RALIHR_surgeon01_fps01_0012,mesh positioning,00:14,00:26
RALIHR_surgeon01_fps01_0012,positioning suture,00:26,01:30
RALIHR_surgeon01_fps01_0012,mesh positioning,01:30,01:34
RALIHR_surgeon01_fps01_0012,transitionary idle,01:34,01:53
RALIHR_surgeon01_fps01_0012,peritoneal scoring,01:53,03:42
RALIHR_surgeon01_fps01_0012,preperioneal dissection,03:42,07:35
RALIHR_surgeon01_fps01_0012,reduction of hernia,07:35,16:14
RALIHR_surgeon01_fps01_0012,transitionary idle,16:14,16:27
RALIHR_surgeon01_fps01_0012,mesh placement,16:27,18:21
RALIHR_surgeon01_fps01_0012,transitionary idle,18:21,18:31
RALIHR_surgeon01_fps01_0012,peritoneal scoring,18:31,19:52
RALIHR_surgeon01_fps01_0012,preperioneal dissection,19:52,22:30
RALIHR_surgeon01_fps01_0012,reduction of hernia,22:30,30:40
RALIHR_surgeon01_fps01_0012,transitionary idle,30:40,30:51
RALIHR_surgeon01_fps01_0012,mesh placement,30:51,31:46
RALIHR_surgeon01_fps01_0012,transitionary idle,31:46,32:46
RALIHR_surgeon01_fps01_0012,mesh placement,32:46,36:10
RALIHR_surgeon01_fps01_0012,transitionary idle,36:10,36:20
RALIHR_surgeon01_fps01_0012,mesh placement,36:20,42:52
RALIHR_surgeon01_fps01_0012,transitionary idle,42:52,43:08
RALIHR_surgeon01_fps01_0012,catheter insertion,43:08,43:36
RALIHR_surgeon01_fps01_0012,transitionary idle,43:36,43:51
RALIHR_surgeon01_fps01_0012,positioning suture,43:51,44:12
RALIHR_surgeon01_fps01_0012,peritoneal closure,44:12,48:29
RALIHR_surgeon01_fps01_0012,positioning suture,48:29,48:47
RALIHR_surgeon01_fps01_0012,peritoneal closure,48:47,50:33
RALIHR_surgeon01_fps01_0012,positioning suture,50:33,50:48
RALIHR_surgeon01_fps01_0012,transitionary idle,50:48,50:53
RALIHR_surgeon01_fps01_0012,positioning suture,50:53,51:14
RALIHR_surgeon01_fps01_0012,peritoneal closure,51:14,57:06
RALIHR_surgeon01_fps01_0012,positioning suture,57:06,58:30
RALIHR_surgeon01_fps01_0012,transitionary idle,58:30,58:41
RALIHR_surgeon01_fps01_0013,transitionary idle,00:00,00:15
RALIHR_surgeon01_fps01_0013,peritoneal scoring,00:15,01:33
RALIHR_surgeon01_fps01_0013,preperioneal dissection,01:33,05:16
RALIHR_surgeon01_fps01_0013,reduction of hernia,05:16,19:12
RALIHR_surgeon01_fps01_0013,transitionary idle,19:12,19:15
RALIHR_surgeon01_fps01_0013,mesh placement,19:15,20:04
RALIHR_surgeon01_fps01_0013,transitionary idle,20:04,20:28
RALIHR_surgeon01_fps01_0013,mesh placement,20:28,22:43
RALIHR_surgeon01_fps01_0013,transitionary idle,22:43,22:49
RALIHR_surgeon01_fps01_0013,positioning suture,22:49,23:16
RALIHR_surgeon01_fps01_0013,catheter insertion,23:16,23:37
RALIHR_surgeon01_fps01_0013,positioning suture,23:37,23:40
RALIHR_surgeon01_fps01_0013,peritoneal closure,23:40,28:07
RALIHR_surgeon01_fps01_0013,positioning suture,28:07,28:36
RALIHR_surgeon01_fps01_0013,transitionary idle,28:36,29:34
RALIHR_surgeon01_fps01_0014,stationary idle,00:00,00:24
RALIHR_surgeon01_fps01_0014,transitionary idle,00:24,00:56
RALIHR_surgeon01_fps01_0014,positioning suture,00:56,01:07
RALIHR_surgeon01_fps01_0014,transitionary idle,01:07,01:21
RALIHR_surgeon01_fps01_0014,mesh positioning,01:21,01:26
RALIHR_surgeon01_fps01_0014,transitionary idle,01:26,01:43
RALIHR_surgeon01_fps01_0014,peritoneal scoring,01:43,02:58
RALIHR_surgeon01_fps01_0014,preperioneal dissection,02:58,07:31
RALIHR_surgeon01_fps01_0014,reduction of hernia,07:31,14:54
RALIHR_surgeon01_fps01_0014,transitionary idle,14:54,15:06
RALIHR_surgeon01_fps01_0014,out of body,15:06,15:37
RALIHR_surgeon01_fps01_0014,stationary idle,15:37,15:42
RALIHR_surgeon01_fps01_0014,reduction of hernia,15:42,21:30
RALIHR_surgeon01_fps01_0014,transitionary idle,21:30,22:24
RALIHR_surgeon01_fps01_0014,reduction of hernia,22:24,27:16
RALIHR_surgeon01_fps01_0014,transitionary idle,27:16,27:53
RALIHR_surgeon01_fps01_0014,mesh placement,27:53,31:47
RALIHR_surgeon01_fps01_0014,transitionary idle,31:47,32:54
RALIHR_surgeon01_fps01_0014,catheter insertion,32:54,33:49
RALIHR_surgeon01_fps01_0014,transitionary idle,33:49,33:53
RALIHR_surgeon01_fps01_0014,positioning suture,33:53,34:02
RALIHR_surgeon01_fps01_0014,peritoneal closure,34:02,34:48
RALIHR_surgeon01_fps01_0014,stationary idle,34:48,35:23
RALIHR_surgeon01_fps01_0014,transitionary idle,35:23,35:30
RALIHR_surgeon01_fps01_0014,peritoneal closure,35:30,45:35
RALIHR_surgeon01_fps01_0014,positioning suture,45:35,46:38
RALIHR_surgeon01_fps01_0014,transitionary idle,46:38,46:48
RALIHR_surgeon01_fps01_0015,stationary idle,00:00,00:07
RALIHR_surgeon01_fps01_0015,mesh positioning,00:07,00:13
RALIHR_surgeon01_fps01_0015,transitionary idle,00:13,00:23
RALIHR_surgeon01_fps01_0015,positioning suture,00:23,01:00
RALIHR_surgeon01_fps01_0015,transitionary idle,01:00,01:34
RALIHR_surgeon01_fps01_0015,peritoneal scoring,01:34,02:11
RALIHR_surgeon01_fps01_0015,preperioneal dissection,02:11,06:37
RALIHR_surgeon01_fps01_0015,reduction of hernia,06:37,14:40
RALIHR_surgeon01_fps01_0015,transitionary idle,14:40,14:53
RALIHR_surgeon01_fps01_0015,positioning suture,14:53,15:00
RALIHR_surgeon01_fps01_0015,mesh placement,15:00,18:53
RALIHR_surgeon01_fps01_0015,transitionary idle,18:53,19:40
RALIHR_surgeon01_fps01_0015,catheter insertion,19:40,19:43
RALIHR_surgeon01_fps01_0015,transitionary idle,19:43,19:46
RALIHR_surgeon01_fps01_0015,positioning suture,19:46,19:53
RALIHR_surgeon01_fps01_0015,peritoneal closure,19:53,20:15
RALIHR_surgeon01_fps01_0015,catheter insertion,20:15,20:26
RALIHR_surgeon01_fps01_0015,peritoneal closure,20:26,23:20
RALIHR_surgeon01_fps01_0015,positioning suture,23:20,23:31
RALIHR_surgeon01_fps01_0015,peritoneal closure,23:31,25:21
RALIHR_surgeon01_fps01_0015,positioning suture,25:21,26:00
RALIHR_surgeon01_fps01_0015,transitionary idle,26:00,26:20
RALIHR_surgeon01_fps01_0015,positioning suture,26:20,26:22
RALIHR_surgeon01_fps01_0015,transitionary idle,26:22,26:48
RALIHR_surgeon01_fps01_0016,transitionary idle,00:00,00:14
RALIHR_surgeon01_fps01_0016,mesh positioning,00:14,00:30
RALIHR_surgeon01_fps01_0016,transitionary idle,00:30,00:44
RALIHR_surgeon01_fps01_0016,peritoneal scoring,00:44,02:24
